show_id,type,title,director,date_added,release_year,rating,duration,listed_in,city
s246,TV Show,Korean Cold Noodle Rhapsody,Not Given,8/20/2021,2021,TV-PG,1 Season,"Docuseries, International TV Shows",khenifra
s249,TV Show,The Chair,Not Given,8/20/2021,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",new-iloilo
s261,TV Show,The Defeated,Not Given,8/18/2021,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",famagusta
s310,TV Show,Car Masters: Rust to Riches,Not Given,8/4/2021,2021,TV-PG,3 Seasons,Reality TV,banjar-serangan
s74,Movie,King of Boys,Kemi Adetiba,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies",olival
s321,TV Show,Top Secret UFO Projects: Declassified,Not Given,8/3/2021,2021,TV-PG,1 Season,Docuseries,itamarandiba
s337,TV Show,Friday Night Lights,Not Given,8/1/2021,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",sukamaju
s365,TV Show,Centaurworld,Not Given,7/30/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",olival
s369,TV Show,Khawatir,Not Given,7/30/2021,2009,TV-14,1 Season,"International TV Shows, Reality TV",funza
s370,TV Show,Myth & Mogul: John DeLorean,Not Given,7/30/2021,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",sa
s377,TV Show,Transformers: War for Cybertron: Kingdom,Not Given,7/29/2021,2021,TV-Y7,1 Season,Anime Series,yoloten
s380,TV Show,Tattoo Redo,Not Given,7/28/2021,2021,TV-MA,1 Season,Reality TV,la-poma
s382,TV Show,The Snitch Cartel: Origins,Not Given,7/28/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",fahraj
s398,TV Show,Feels Like Ishq,Not Given,7/23/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",osinniki
s483,TV Show,How to Become a Tyrant,Not Given,7/9/2021,2021,TV-MA,1 Season,Docuseries,mitrovice
s82,Movie,Kate,Cedric Nicolas-Troyan,9/10/2021,2021,R,106 min,Action & Adventure,gotemba
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",9/10/2021,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",mertola
s87,Movie,Prey,Thomas Sieben,9/10/2021,2021,TV-MA,87 min,"International Movies, Thrillers",lavras
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,Not Given,7/23/2021,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",el-carmen
s405,Movie,9to5: The Story of a Movement,Not Given,7/22/2021,2021,TV-MA,85 min,Documentaries,waturoka
s91,Movie,Paradise Hills,Alice Waddington,9/9/2021,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",athi-river
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",9/9/2021,2021,TV-14,92 min,"Documentaries, International Movies",darkovice
s431,TV Show,Sexy Beasts,Not Given,7/21/2021,2021,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",sa
s95,Movie,Show Dogs,Raja Gosnell,9/8/2021,2018,PG,90 min,"Children & Family Movies, Comedies",qiakeri
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,4/14/2021,2021,TV-MA,84 min,Documentaries,kertorejo
s432,TV Show,Too Hot to Handle: Brazil,Not Given,7/21/2021,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",liangnong
s436,TV Show,Touch Your Heart,Not Given,7/20/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",tarumizu
s467,TV Show,My Unorthodox Life,Not Given,7/14/2021,2021,TV-MA,1 Season,Reality TV,zielona-gora
s488,TV Show,The Cook of Castamar,Not Given,7/9/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",sheshory
s491,TV Show,Elize Matsunaga: Once Upon a Crime,Not Given,7/8/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",sa
s505,TV Show,The War Next-door,Not Given,7/7/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",nanger
s550,TV Show,Big Timber,Not Given,7/2/2021,2020,TV-14,1 Season,"International TV Shows, Reality TV",dedza
s572,TV Show,Generation 56k,Not Given,7/1/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",modderfontein
s591,TV Show,Sailor Moon Crystal,Not Given,7/1/2021,2016,TV-Y7,3 Seasons,"Anime Series, Kids' TV",sop-pong
s640,TV Show,Godzilla Singular Point,Not Given,6/24/2021,2021,TV-14,1 Season,"Anime Series, International TV Shows",vallenar
s642,Movie,Sisters on Track,Not Given,6/24/2021,2021,PG,97 min,"Documentaries, Sports Movies",la-poma
s648,TV Show,The Parisian Agency: Exclusive Properties,Not Given,6/23/2021,2021,TV-G,1 Season,"International TV Shows, Reality TV",sesheke
s78,Movie,Little Singham - Black Shadow,Prakash Satam,9/11/2021,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",brnenec
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,9/10/2021,2021,TV-Y7,93 min,Children & Family Movies,nea-pella
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,9/11/2021,2020,TV-14,145 min,"Comedies, Dramas, International Movies",paso-de-indios
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,9/11/2021,2021,TV-14,145 min,"Comedies, Dramas, International Movies",crespo
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,9/9/2021,2021,PG-13,96 min,"Documentaries, Sports Movies",runting
s94,Movie,JJ+E,Alexis Almström,9/8/2021,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",balangonan
s113,Movie,Worth,Sara Colangelo,9/3/2021,2021,PG-13,119 min,Dramas,marttila
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,9/7/2021,2018,TV-MA,97 min,"Documentaries, Music & Musicals",fuxi
s114,Movie,Afterlife of the Party,Stephen Herek,9/2/2021,2021,TV-PG,110 min,"Comedies, Romantic Movies",medellin
s654,TV Show,This Is Pop,Not Given,6/22/2021,2021,TV-MA,1 Season,"Docuseries, International TV Shows",dikou
s659,TV Show,"Nevertheless,",Not Given,6/20/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",huabeitun
s762,TV Show,Human: The World Within,Not Given,6/4/2021,2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",mitrovice
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",9/7/2021,2021,TV-MA,80 min,"Documentaries, Sports Movies",rufino
s664,TV Show,Charité at War,Not Given,6/19/2021,2019,TV-MA,1 Season,"International TV Shows, TV Dramas",kema
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,9/5/2021,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",sesheke
s698,TV Show,Elite Short Stories: Carla Samuel,Not Given,6/17/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",na-iyat-ba-ar
s108,Movie,A Champion Heart,David de Vos,9/4/2021,2018,G,90 min,"Children & Family Movies, Dramas",mirpur-mathelo
s701,TV Show,Record of Ragnarok,Not Given,6/17/2021,2021,TV-MA,1 Season,"Anime Series, International TV Shows",panama
s707,TV Show,Elite Short Stories: Omar Ander Alexis,Not Given,6/16/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",san-vicente
s711,TV Show,Penguin Town,Not Given,6/16/2021,2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",yoloten
s115,Movie,Anjaam,Rahul Rawail,9/2/2021,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",nazare
s715,TV Show,Beyond Evil,Not Given,6/15/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Thrillers",inglewood
s716,TV Show,Elite Short Stories: Nadia Guzmán,Not Given,6/15/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",tsul-ulaan
s718,Movie,Headspace: Unwind Your Mind,Not Given,6/15/2021,2021,TV-G,273 min,Documentaries,san-vicente
s721,TV Show,Rhyme Time Town,Not Given,6/15/2021,2021,TV-Y,2 Seasons,Kids' TV,lavras
s726,TV Show,Elite Short Stories: Guzmán Caye Rebe,Not Given,6/14/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",mpumalanga
s733,Movie,To All the Boys: Always and Forever - The Afterparty,Not Given,6/12/2021,2021,TV-MA,36 min,Movies,ujazd
s739,Movie,Trese After Dark,Not Given,6/11/2021,2021,TV-14,36 min,"Anime Features, Documentaries",zhaowanzhuang
s752,TV Show,Guru Aur Bhole,Not Given,6/8/2021,2018,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",wonotirto
s843,TV Show,High on the Hog: How African American Cuisine Transformed America,Not Given,5/26/2021,2021,TV-14,1 Season,Docuseries,kurihashi
s848,TV Show,Mad for Each Other,Not Given,5/24/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",pancol
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,Not Given,5/22/2021,2020,TV-G,61 min,"International Movies, Music & Musicals",famagusta
s937,TV Show,Miniforce: Super Dino Power,Not Given,5/1/2021,2020,TV-Y7,1 Season,Kids' TV,laowobao
s928,TV Show,Barney and Friends,Not Given,5/1/2021,2010,TV-Y,2 Seasons,Kids' TV,pliwetan
s958,TV Show,Pet Stars,Not Given,4/30/2021,2021,TV-PG,1 Season,Reality TV,vathylakkos
s964,TV Show,The Unremarkable Juanquini,Not Given,4/30/2021,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",santo-antonio-de-jesus
s966,TV Show,Yasuke,Not Given,4/29/2021,2021,TV-MA,1 Season,"Anime Series, International TV Shows",kolbudy
s968,TV Show,Headspace Guide to Sleep,Not Given,4/28/2021,2021,TV-G,1 Season,"Docuseries, Science & Nature TV",kvasiny
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,9/6/2021,2021,TV-14,1 Season,"Docuseries, Science & Nature TV",svedala
s104,Movie,Shadow Parties,Yemi Amodu,9/6/2021,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",vathylakkos
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",9/3/2021,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",mertola
s116,Movie,Bright Star,Jane Campion,9/2/2021,2009,PG,119 min,"Dramas, Romantic Movies",marttila
s117,Movie,Dhanak,Nagesh Kukunoor,9/2/2021,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",dikou
s118,Movie,Final Account,Luke Holland,9/2/2021,2021,PG-13,94 min,Documentaries,seraya
s119,Movie,Gurgaon,Shanker Raman,9/2/2021,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",el-paisnal
s120,Movie,Here and There,JP Habac,9/2/2021,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",djibouti
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,9/1/2021,2017,PG-13,115 min,"Dramas, International Movies, Thrillers",cihurip-satu
s123,Movie,In the Cut,Jane Campion,9/2/2021,2003,R,118 min,Thrillers,le-lamentin
s1006,Movie,Keymon and Nani in Space Adventure,Not Given,4/20/2021,2013,TV-Y,76 min,"Children & Family Movies, Comedies",pancol
s1011,Movie,Rudra: The Rise of King Pharaoh,Not Given,4/20/2021,2019,TV-Y7,91 min,Children & Family Movies,chrzanow
s1026,TV Show,Bakugan: Geogan Rising,Not Given,4/16/2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",bol-shoye-selo
s127,Movie,Shikara,Vidhu Vinod Chopra,9/2/2021,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",svoronos
s128,Movie,A Cinderella Story,Mark Rosman,9/1/2021,2004,PG,95 min,"Children & Family Movies, Comedies",rimbo
s130,Movie,An Unfinished Life,Lasse Hallström,9/1/2021,2005,PG-13,108 min,Dramas,lestina
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,9/1/2021,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",orebro
s1029,Movie,Dad Stop Embarrassing Me - The Afterparty,Not Given,4/16/2021,2021,TV-14,37 min,Comedies,xiying
s134,Movie,Chappie,Neill Blomkamp,9/1/2021,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",kedungdoro
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,9/1/2021,2016,TV-MA,88 min,Comedies,nea-pella
s1039,TV Show,Dancing Angels,Not Given,4/15/2021,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",phoenix
s1083,TV Show,Don't be the First one,Not Given,4/11/2021,2021,TV-14,1 Season,"International TV Shows, Reality TV",olival
s1095,TV Show,The Wedding Coach,Not Given,4/7/2021,2021,TV-MA,1 Season,"Reality TV, Romantic TV Shows",kaleybar
s1096,TV Show,This Is a Robbery: The World's Biggest Art Heist,Not Given,4/7/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",zaragoza
s1117,TV Show,Glimpses of a Future,Not Given,4/1/2021,2020,TV-PG,1 Season,"Docuseries, International TV Shows",rimbo
s1181,TV Show,Alien TV,Not Given,3/19/2021,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",sa
s1225,TV Show,Last Chance U: Basketball,Not Given,3/10/2021,2021,TV-MA,1 Season,Docuseries,kertorejo
s1226,TV Show,Marriage or Mortgage,Not Given,3/10/2021,2021,TV-G,1 Season,"Reality TV, Romantic TV Shows",calangain
s1236,TV Show,Pokémon Journeys: The Series,Not Given,3/5/2021,2021,TV-Y7,4 Seasons,"Anime Series, Kids' TV, TV Action & Adventure",kiten
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,9/1/2021,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",khomutovo
s135,Movie,Clear and Present Danger,Phillip Noyce,9/1/2021,1994,PG-13,142 min,"Action & Adventure, Dramas",wellington
s136,Movie,Cliffhanger,Renny Harlin,9/1/2021,1993,R,113 min,Action & Adventure,polen
s137,Movie,Cold Mountain,Anthony Minghella,9/1/2021,2003,R,154 min,"Dramas, Romantic Movies",santo-antonio-de-jesus
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,9/1/2021,2001,PG,95 min,"Action & Adventure, Comedies",el-paisnal
s139,Movie,Dear John,Lasse Hallström,9/1/2021,2010,PG-13,108 min,"Dramas, Romantic Movies",vastra-frolunda
s140,Movie,Do the Right Thing,Spike Lee,9/1/2021,1989,R,120 min,"Classic Movies, Comedies, Dramas",sop-pong
